 "month" "caisson" "hours" "month" "caisson" "hours" "match?"
89 2006-05-01 1 239 2006-05-01 1 116512 TRUE
90 2006-06-01 1 536 2006-06-01 1 140067 TRUE
91 2006-07-01 1 535 2006-07-01 1 93841 TRUE
92 2006-09-01 1 423 2006-08-01 1 94083 FALSE
93 2006-10-01 1 849 2006-09-01 1 117843 FALSE
94 2006-11-01 1 569 2006-10-01 1 118416 FALSE
95 2006-12-01 1 4181 2006-11-01 1 118962 FALSE
96 2007-01-01 1 248 2006-12-01 1 119272 FALSE
97 2007-02-01 1 317 2007-01-01 1 119400 FALSE
98 2007-03-01 1 471 2007-02-01 1 119526 FALSE
99 2007-04-01 1 135 2007-03-01 1 143597 FALSE
100 2007-05-01 1 199 2007-04-01 1 95814 FALSE
101 2007-06-01 1 169 2007-05-01 1 119851 FALSE
102 2007-08-01 1 239 2007-06-01 1 119905 FALSE
103 2007-09-01 1 176 2007-07-01 1 95977 FALSE
104 2007-10-01 1 197 2007-08-01 1 120037 FALSE
105 2007-11-01 1 298 2007-09-01 1 96101 FALSE
106 2008-01-01 1 134 2007-10-01 1 120245 FALSE
107 2008-02-01 1 336 2007-11-01 1 144403 FALSE
108 2008-03-01 1 201 2007-12-01 1 96333 FALSE
109 2008-05-01 1 183 2008-01-01 1 120511 FALSE
110 2008-06-01 1 321 2008-02-01 1 144697 FALSE
111 2008-08-01 1 199 2008-03-01 1 144755 FALSE
112 2008-09-01 1 132 2008-04-01 1 96534 FALSE
113 2008-10-01 1 211 2008-05-01 1 120691 FALSE
114 2008-11-01 1 253 2008-06-01 1 120721 FALSE
115 2008-12-01 1 147 2008-07-01 1 72438 FALSE
116 2009-02-01 1 130 2008-08-01 1 120747 FALSE
117 2009-03-01 1 104 2008-09-01 1 120783 FALSE
118 2009-04-01 1 59 2008-10-01 1 120832 FALSE
119 2009-05-01 1 56 2008-11-01 1 96723 FALSE
120 2009-06-01 1 26 2008-12-01 1 145128 FALSE
121 2009-07-01 1 29 2009-01-01 1 96774 FALSE
122 2009-08-01 1 58 2009-02-01 1 96800 FALSE
123 2009-10-01 1 48 2009-03-01 1 96813 FALSE
124 2009-11-01 1 215 2009-04-01 1 121023 FALSE
125 2010-01-01 1 53 2009-05-01 1 96820 FALSE
126 2010-02-01 1 200 2009-06-01 1 121025 FALSE
127 2010-03-01 1 81 2009-07-01 1 121025 FALSE
128 2010-05-01 1 29 2009-08-01 1 121025 FALSE
129 2010-06-01 1 53 2009-09-01 1 96830 FALSE
130 2010-07-01 1 70 2009-10-01 1 121052 FALSE
131 2010-08-01 1 64 2009-11-01 1 121076 FALSE
132 2010-09-01 1 58 2009-12-01 1 96881 FALSE
133 2010-10-01 1 173 2010-01-01 1 48452 FALSE
134 2010-11-01 1 163 2010-02-01 1 96933 FALSE
135 2010-12-01 1 67 2010-03-01 1 121170 FALSE
136 2011-01-01 1 879 2010-04-01 1 96936 FALSE
137 2011-02-01 1 607 2010-05-01 1 121183 FALSE
138 2011-03-01 1 792 2010-06-01 1 121199 FALSE
139 2011-05-01 1 247 2010-07-01 1 121212 FALSE
140 2011-06-01 1 140 2010-08-01 1 121221 FALSE
141 2011-07-01 1 342 2010-09-01 1 121242 FALSE
142 2011-08-01 1 186 2010-10-01 1 121294 FALSE
143 2011-09-01 1 248 2010-11-01 1 121420 FALSE
144 2011-10-01 1 515 2010-12-01 1 97266 FALSE
145 2011-12-01 1 247 2011-01-01 1 122022 FALSE
146 2012-01-01 1 382 2011-02-01 1 122458 FALSE
147 2012-02-01 1 449 2011-03-01 1 98131 FALSE
148 2012-04-01 1 464 2011-04-01 1 98112 FALSE
149 2012-05-01 1 273 2011-05-01 1 122830 FALSE
150 2012-06-01 1 288 2011-06-01 1 122895 FALSE
151 2012-07-01 1 500 2011-07-01 1 98469 FALSE
152 2012-08-01 1 562 2011-08-01 1 123178 FALSE
153 2012-09-01 1 201 2011-09-01 1 123290 FALSE
154 2012-10-01 1 378 2011-10-01 1 123504 FALSE
155 2012-11-01 1 500 2011-11-01 1 98886 FALSE
156 2012-12-01 1 295 2011-12-01 1 123742 FALSE
157 2013-01-01 1 234 2012-01-01 1 123942 FALSE
158 2013-02-01 1 245 2012-02-01 1 148857 FALSE
159 2013-03-01 1 148 2012-03-01 1 99361 FALSE
160 2013-04-01 1 179 2012-04-01 1 124288 FALSE
161 2013-05-01 1 132 2012-05-01 1 99588 FALSE
162 2013-06-01 1 116 2012-06-01 1 99731 FALSE
163 2013-07-01 1 149 2012-07-01 1 124940 FALSE
164 2013-08-01 1 131 2012-08-01 1 125149 FALSE
165 2013-09-01 1 130 2012-09-01 1 100240 FALSE
166 2013-10-01 1 370 2012-10-01 1 125586 FALSE
167 2013-11-01 1 281 2012-11-01 1 150904 FALSE
168 2013-12-01 1 170 2012-12-01 1 125918 FALSE
169 2014-01-01 1 335 2013-01-01 1 126037 FALSE
170 2014-02-01 1 204 2013-02-01 1 100910 FALSE
171 2014-03-01 1 502 2013-03-01 1 100996 FALSE
172 2014-04-01 1 223 2013-04-01 1 126321 FALSE
173 2014-05-01 1 206 2013-05-01 1 126374 FALSE
174 2014-06-01 1 130 2013-06-01 1 101157 FALSE
175 2014-07-01 1 198 2013-07-01 1 126528 FALSE
176 2014-08-01 1 154 2013-08-01 1 126587 FALSE
177 2014-09-01 1 235 2013-09-01 1 126738 FALSE
178 2014-10-01 1 403 2013-10-01 1 126881 FALSE
179 2014-11-01 1 393 2013-11-01 1 127010 FALSE
180 2014-12-01 1 229 2013-12-01 1 101723 FALSE
181 2015-01-01 1 198 2014-01-01 1 127322 FALSE
182 2015-02-01 1 218 2014-02-01 1 102076 FALSE
183 2015-03-01 1 294 2014-03-01 1 127892 FALSE
184 2015-04-01 1 184 2014-04-01 1 127987 FALSE
185 2015-05-01 1 295 2014-05-01 1 102459 FALSE
186 1998-10-01 2 0 2014-06-01 1 128166 FALSE
187 1998-11-01 2 1728 2014-07-01 1 128255 FALSE
188 1998-12-01 2 1762 2014-08-01 1 102684 FALSE
189 1999-01-01 2 1892 2014-09-01 1 128521 FALSE
190 1999-02-01 2 3197 2014-10-01 1 128708 FALSE
191 1999-03-01 2 2651 2014-11-01 1 103148 FALSE
192 1999-04-01 2 1636 2014-12-01 1 129061 FALSE
193 1999-05-01 2 1659 2015-01-01 1 103340 FALSE
194 1999-06-01 2 1879 2015-02-01 1 129307 FALSE
195 1999-07-01 2 1111 2015-03-01 1 129490 FALSE
196 1999-08-01 2 1071 2015-04-01 1 129620 FALSE
197 1999-09-01 2 1881 2015-05-01 1 103810 FALSE
198 1999-10-01 2 1801 1998-10-01 2 60872 FALSE
199 1999-11-01 2 2997 1998-11-01 2 76955 FALSE
200 1999-12-01 2 2622 1998-12-01 2 62245 FALSE
201 2000-01-01 2 3112 1999-01-01 2 63046 FALSE
202 2000-02-01 2 1914 1999-02-01 2 63761 FALSE
203 2000-03-01 2 4153 1999-03-01 2 80451 FALSE
204 2000-04-01 2 2927 1999-04-01 2 64758 FALSE
205 2000-05-01 2 1328 1999-05-01 2 65169 FALSE
206 2000-06-01 2 1576 1999-06-01 2 81926 FALSE
207 2000-07-01 2 1646 1999-07-01 2 65789 FALSE
208 2000-08-01 2 1627 1999-08-01 2 82550 FALSE
209 2000-09-01 2 1596 1999-09-01 2 66505 FALSE
210 2000-10-01 2 2477 1999-10-01 2 67061 FALSE
211 2000-11-01 2 2239 1999-11-01 2 67713 FALSE
212 2000-12-01 2 2356 1999-12-01 2 85540 FALSE
213 2001-01-01 2 2209 2000-01-01 2 69083 FALSE
214 2001-02-01 2 2185 2000-02-01 2 87283 FALSE
215 2001-03-01 2 2575 2000-03-01 2 70993 FALSE
216 2001-04-01 2 1395 2000-04-01 2 71780 FALSE
217 2001-05-01 2 1503 2000-05-01 2 90415 FALSE
218 2001-06-01 2 1407 2000-06-01 2 72771 FALSE
219 2001-07-01 2 1131 2000-07-01 2 73101 FALSE
220 2001-08-01 2 1093 2000-08-01 2 91782 FALSE
221 2001-09-01 2 1241 2000-09-01 2 73839 FALSE
222 2001-10-01 2 1621 2000-10-01 2 74287 FALSE
223 2001-11-01 2 2092 2000-11-01 2 93510 FALSE
224 2001-12-01 2 2614 2000-12-01 2 75309 FALSE
225 2002-01-01 2 2001 2001-01-01 2 94698 FALSE
226 2002-02-01 2 2002 2001-02-01 2 76287 FALSE
227 2002-03-01 2 1039 2001-03-01 2 76690 FALSE
228 2002-04-01 2 1260 2001-04-01 2 76964 FALSE
229 2002-05-01 2 1139 2001-05-01 2 96643 FALSE
230 2002-06-01 2 1068 2001-06-01 2 77570 FALSE
231 2002-07-01 2 886 2001-07-01 2 77844 FALSE
232 2002-08-01 2 775 2001-08-01 2 78070 FALSE
233 2002-09-01 2 476 2001-09-01 2 78318 FALSE
234 2002-10-01 2 574 2001-10-01 2 98460 FALSE
235 2002-11-01 2 991 2001-11-01 2 79272 FALSE
236 2002-12-01 2 804 2001-12-01 2 59782 FALSE
237 2003-01-01 2 880 2002-01-01 2 20006 FALSE
238 2003-02-01 2 769 2002-02-01 2 80590 FALSE
239 2003-03-01 2 592 2002-03-01 2 80879 FALSE
240 2003-04-01 2 465 2002-04-01 2 101451 FALSE
241 2003-05-01 2 849 2002-05-01 2 81399 FALSE
242 2003-06-01 2 625 2002-06-01 2 81605 FALSE
243 2003-07-01 2 1267 2002-07-01 2 81807 FALSE
244 2003-08-01 2 1242 2002-08-01 2 81997 FALSE
245 2003-09-01 2 571 2002-09-01 2 82245 FALSE
246 2003-10-01 2 547 2002-10-01 2 103217 FALSE
247 2003-11-01 2 993 2002-11-01 2 62216 FALSE
248 2003-12-01 2 934 2002-12-01 2 104277 FALSE
249 2004-01-01 2 801 2003-01-01 2 83797 FALSE
250 2004-02-01 2 865 2003-02-01 2 84112 FALSE
251 2004-03-01 2 875 2003-03-01 2 105476 FALSE
252 2004-04-01 2 910 2003-04-01 2 84643 FALSE
253 2004-05-01 2 1226 2003-05-01 2 84850 FALSE
254 2004-07-01 2 1310 2003-06-01 2 85062 FALSE
255 2004-08-01 2 997 2003-07-01 2 106824 FALSE
256 2004-09-01 2 513 2003-08-01 2 85709 FALSE
257 2004-10-01 2 769 2003-09-01 2 107363 FALSE
258 2004-11-01 2 971 2003-10-01 2 86112 FALSE
259 2004-12-01 2 997 2003-11-01 2 86369 FALSE
260 2005-01-01 2 1536 2003-12-01 2 108275 FALSE
261 2005-02-01 2 441 2004-01-01 2 86876 FALSE
262 2005-04-01 2 457 2004-02-01 2 87091 FALSE
263 2005-05-01 2 269 2004-03-01 2 109172 FALSE
264 2005-06-01 2 382 2004-04-01 2 87551 FALSE
265 2005-07-01 2 520 2004-05-01 2 109691 FALSE
266 2005-08-01 2 547 2004-06-01 2 65979 FALSE
267 2005-09-01 2 355 2004-07-01 2 88209 FALSE
268 2005-10-01 2 359 2004-08-01 2 110479 FALSE
269 2005-11-01 2 494 2004-09-01 2 88501 FALSE
270 2005-12-01 2 418 2004-10-01 2 88739 FALSE
271 2006-01-01 2 983 2004-11-01 2 111300 FALSE
272 2006-03-01 2 500 2004-12-01 2 89255 FALSE
273 2006-04-01 2 416 2005-01-01 2 111889 FALSE
274 2006-05-01 2 275 2005-02-01 2 89672 FALSE
275 2006-06-01 2 463 2005-03-01 2 89772 FALSE
276 2006-07-01 2 482 2005-04-01 2 112322 FALSE
277 2006-09-01 2 443 2005-05-01 2 89961 FALSE
278 2006-10-01 2 401 2005-06-01 2 112567 FALSE
279 2006-11-01 2 453 2005-07-01 2 90219 FALSE
280 2006-12-01 2 456 2005-08-01 2 112943 FALSE
281 2007-01-01 2 443 2005-09-01 2 113043 FALSE
282 2007-02-01 2 311 2005-10-01 2 113226 FALSE
283 2007-03-01 2 254 2005-11-01 2 113372 FALSE
284 2007-04-01 2 60 2005-12-01 2 90791 FALSE
285 2007-05-01 2 68 2006-01-01 2 113744 FALSE
286 2007-06-01 2 58 2006-02-01 2 91150 FALSE
287 2007-08-01 2 195 2006-03-01 2 114068 FALSE
288 2007-09-01 2 116 2006-04-01 2 91350 FALSE
289 2007-10-01 2 82 2006-05-01 2 114314 FALSE
290 2007-11-01 2 219 2006-06-01 2 137301 FALSE
291 2008-01-01 2 69 2006-07-01 2 91660 FALSE
292 2008-02-01 2 165 2006-08-01 2 91760 FALSE
293 2008-03-01 2 89 2006-09-01 2 114812 FALSE
294 2008-05-01 2 51 2006-10-01 2 115006 FALSE
295 2008-06-01 2 97 2006-11-01 2 115172 FALSE
296 2008-08-01 2 61 2006-12-01 2 115288 FALSE
297 2008-09-01 2 29 2007-01-01 2 115412 FALSE
298 2008-10-01 2 60 2007-02-01 2 115479 FALSE
299 2008-11-01 2 186 2007-03-01 2 138631 FALSE
300 2008-12-01 2 174 2007-04-01 2 92433 FALSE
301 2009-02-01 2 177 2007-05-01 2 115558 FALSE
302 2009-03-01 2 173 2007-06-01 2 115573 FALSE
303 2009-04-01 2 65 2007-07-01 2 92490 FALSE
304 2009-05-01 2 74 2007-08-01 2 115638 FALSE
305 2009-06-01 2 49 2007-09-01 2 92531 FALSE
306 2009-07-01 2 60 2007-10-01 2 115692 FALSE
307 2009-08-01 2 66 2007-11-01 2 138870 FALSE
308 2009-10-01 2 52 2007-12-01 2 92590 FALSE
309 2009-11-01 2 395 2008-01-01 2 115762 FALSE
310 2010-01-01 2 121 2008-02-01 2 138940 FALSE
311 2010-02-01 2 120 2008-03-01 2 138964 FALSE
312 2010-03-01 2 231 2008-04-01 2 92649 FALSE
313 2010-05-01 2 201 2008-05-01 2 115815 FALSE
314 2010-06-01 2 52 2008-06-01 2 115830 FALSE
315 2010-07-01 2 60 2008-07-01 2 69505 FALSE
316 2010-08-01 2 88 2008-08-01 2 115845 FALSE
317 2010-09-01 2 51 2008-09-01 2 115850 FALSE
318 2010-10-01 2 229 2008-10-01 2 115872 FALSE
319 2010-11-01 2 498 2008-11-01 2 92733 FALSE
320 2010-12-01 2 420 2008-12-01 2 139131 FALSE
321 2011-01-01 2 1193 2009-01-01 2 92775 FALSE
322 2011-02-01 2 1155 2009-02-01 2 92824 FALSE
323 2011-03-01 2 1962 2009-03-01 2 92851 FALSE
324 2011-05-01 2 545 2009-04-01 2 116078 FALSE
325 2011-06-01 2 430 2009-05-01 2 92873 FALSE
326 2011-07-01 2 696 2009-06-01 2 116100 FALSE
327 2011-08-01 2 565 2009-07-01 2 116106 FALSE
328 2011-09-01 2 606 2009-08-01 2 116110 FALSE
329 2011-10-01 2 1473 2009-09-01 2 92888 FALSE
330 2011-12-01 2 448 2009-10-01 2 116120 FALSE
331 2012-01-01 2 723 2009-11-01 2 116196 FALSE
332 2012-02-01 2 787 2009-12-01 2 93023 FALSE
333 2012-04-01 2 1109 2010-01-01 2 46522 FALSE
334 2012-05-01 2 311 2010-02-01 2 93077 FALSE
335 2012-06-01 2 447 2010-03-01 2 116381 FALSE
336 2012-07-01 2 278 2010-04-01 2 93157 FALSE
337 2012-08-01 2 1067 2010-05-01 2 116451 FALSE
338 2012-09-01 2 585 2010-06-01 2 116457 FALSE
339 2012-10-01 2 865 2010-07-01 2 116475 FALSE
340 2012-11-01 2 812 2010-08-01 2 116487 FALSE
341 2012-12-01 2 700 2010-09-01 2 116510 FALSE
342 2013-01-01 2 576 2010-10-01 2 116616 FALSE
343 2013-02-01 2 795 2010-11-01 2 116803 FALSE
344 2013-03-01 2 467 2010-12-01 2 93558 FALSE
345 2013-04-01 2 235 2011-01-01 2 117619 FALSE
346 2013-05-01 2 296 2011-02-01 2 118238 FALSE
347 2013-06-01 2 336 2011-03-01 2 94804 FALSE
348 2013-07-01 2 228 2011-04-01 2 94897 FALSE
349 2013-08-01 2 252 2011-05-01 2 118836 FALSE
350 2013-09-01 2 266 2011-06-01 2 118975 FALSE
351 2013-10-01 2 488 2011-07-01 2 95386 FALSE
352 2013-11-01 2 567 2011-08-01 2 119429 FALSE
353 2013-12-01 2 597 2011-09-01 2 119631 FALSE
354 2014-01-01 2 631 2011-10-01 2 119917 FALSE
355 2014-02-01 2 365 2011-11-01 2 96069 FALSE
356 2014-03-01 2 1002 2011-12-01 2 120238 FALSE
357 2014-04-01 2 324 2012-01-01 2 120479 FALSE
358 2014-05-01 2 421 2012-02-01 2 144734 FALSE
359 2014-06-01 2 464 2012-03-01 2 96716 FALSE
360 2014-07-01 2 228 2012-04-01 2 121053 FALSE
361 2014-08-01 2 307 2012-05-01 2 96984 FALSE
362 2014-09-01 2 273 2012-06-01 2 97344 FALSE
363 2014-10-01 2 525 2012-07-01 2 121932 FALSE
364 2014-11-01 2 585 2012-08-01 2 122187 FALSE
365 2014-12-01 2 498 2012-09-01 2 97930 FALSE
366 2015-01-01 2 305 2012-10-01 2 122708 FALSE
367 2015-02-01 2 293 2012-11-01 2 147488 FALSE
368 2015-03-01 2 435 2012-12-01 2 123158 FALSE
369 2015-04-01 2 239 2013-01-01 2 123379 FALSE
370 2015-05-01 2 346 2013-02-01 2 98880 FALSE
371 1998-10-01 3 0 2013-03-01 2 98964 FALSE
372 1998-11-01 3 2940 2013-04-01 2 123771 FALSE
373 1998-12-01 3 3000 2013-05-01 2 123863 FALSE
374 1999-01-01 3 3290 2013-06-01 2 99151 FALSE
375 1999-02-01 3 3510 2013-07-01 2 124018 FALSE
376 1999-03-01 3 2960 2013-08-01 2 124081 FALSE
377 1999-04-01 3 2660 2013-09-01 2 124204 FALSE
378 1999-05-01 3 2780 2013-10-01 2 124362 FALSE
379 1999-06-01 3 3720 2013-11-01 2 124537 FALSE
380 1999-07-01 3 2140 2013-12-01 2 99768 FALSE
381 1999-08-01 3 2200 2014-01-01 2 124898 FALSE
382 1999-09-01 3 2750 2014-02-01 2 100086 FALSE
383 1999-10-01 3 2680 2014-03-01 2 125361 FALSE
384 1999-11-01 3 4020 2014-04-01 2 125458 FALSE
385 1999-12-01 3 2740 2014-05-01 2 100492 FALSE
386 2000-01-01 3 3250 2014-06-01 2 125713 FALSE
387 2000-02-01 3 2060 2014-07-01 2 125793 FALSE
388 2000-03-01 3 3850 2014-08-01 2 100710 FALSE
389 2000-04-01 3 2750 2014-09-01 2 126011 FALSE
390 2000-05-01 3 2210 2014-10-01 2 126157 FALSE
391 2000-06-01 3 2050 2014-11-01 2 101075 FALSE
392 2000-07-01 3 2000 2014-12-01 2 126490 FALSE
393 2000-08-01 3 1890 2015-01-01 2 101262 FALSE
394 2000-09-01 3 2050 2015-02-01 2 126655 FALSE
395 2000-10-01 3 2270 2015-03-01 2 126768 FALSE
396 2000-11-01 3 2180 2015-04-01 2 126842 FALSE
397 2000-12-01 3 2080 2015-05-01 2 101530 FALSE
398 2001-01-01 3 2040 1998-10-01 3 283926 FALSE
399 2001-02-01 3 1980 1998-11-01 3 355611 FALSE
400 2001-03-01 3 2400 1998-12-01 3 285078 FALSE
401 2001-04-01 3 2110 1999-01-01 3 285624 FALSE
402 2001-05-01 3 2530 1999-02-01 3 286222 FALSE
403 2001-06-01 3 2320 1999-03-01 3 358487 FALSE
404 2001-07-01 3 1830 1999-04-01 3 287241 FALSE
405 2001-08-01 3 1840 1999-05-01 3 287743 FALSE
406 2001-09-01 3 2030 1999-06-01 3 360472 FALSE
407 2001-10-01 3 1910 1999-07-01 3 288783 FALSE
408 2001-11-01 3 2210 1999-08-01 3 361612 FALSE
409 2001-12-01 3 2590 1999-09-01 3 290733 FALSE
410 2002-01-01 3 2180 1999-10-01 3 292405 FALSE
411 2002-02-01 3 2140 1999-11-01 3 293331 FALSE
412 2002-03-01 3 1970 1999-12-01 3 367410 FALSE
413 2002-04-01 3 1660 2000-01-01 3 294406 FALSE
414 2002-05-01 3 1960 2000-02-01 3 368663 FALSE
415 2002-06-01 3 1490 2000-03-01 3 295583 FALSE
416 2002-07-01 3 1470 2000-04-01 3 296001 FALSE
417 2002-08-01 3 1750 2000-05-01 3 370546 FALSE
418 2002-09-01 3 1660 2000-06-01 3 296817 FALSE
419 2002-10-01 3 597.3 2000-07-01 3 297144 FALSE
420 2002-11-01 3 3807.7 2000-08-01 3 371910 FALSE
421 2002-12-01 3 3031 2000-09-01 3 297930 FALSE
422 2003-01-01 3 2815.5 2000-10-01 3 298335 FALSE
423 2003-02-01 3 3479.7 2000-11-01 3 373473 FALSE
424 2003-03-01 3 4114.7 2000-12-01 3 299191 FALSE
425 2003-04-01 3 3972.1 2001-01-01 3 374448 FALSE
426 2003-05-01 3 3044.1 2001-02-01 3 299990 FALSE
427 2003-06-01 3 2335.1 2001-03-01 3 300367 FALSE
428 2003-07-01 3 2453.1 2001-04-01 3 300807 FALSE
429 2003-08-01 3 2518.7 2001-05-01 3 376591 FALSE
430 2003-09-01 3 1997 2001-06-01 3 301659 FALSE
431 2003-10-01 3 2269 2001-07-01 3 302055 FALSE
432 2003-11-01 3 2633 2001-08-01 3 302390 FALSE
433 2003-12-01 3 2078 2001-09-01 3 302724 FALSE
434 2004-01-01 3 2966 2001-10-01 3 378919 FALSE
435 2004-02-01 3 2164 2001-11-01 3 303585 FALSE
436 2004-03-01 3 1948 2001-12-01 3 227960 FALSE
437 2004-04-01 3 2466 2002-01-01 3 76063 FALSE
438 2004-05-01 3 3801 2002-02-01 3 304804 FALSE
439 2004-07-01 3 2034 2002-03-01 3 305139 FALSE
440 2004-08-01 3 1963 2002-04-01 3 381831 FALSE
441 2004-09-01 3 1769 2002-05-01 3 305786 FALSE
442 2004-10-01 3 2338 2002-06-01 3 306063 FALSE
443 2004-11-01 3 2012 2002-07-01 3 306370 FALSE
444 2004-12-01 3 2185 2002-08-01 3 306679 FALSE
445 2005-01-01 3 4357 2002-09-01 3 307008 FALSE
446 2005-02-01 3 1796 2002-10-01 3 577 FALSE
447 2005-04-01 3 1847 2002-11-01 3 900 FALSE
448 2005-05-01 3 2048 2002-12-01 3 2569 FALSE
449 2005-06-01 3 1783 2003-01-01 3 2795 FALSE
450 2005-07-01 3 2277 2003-02-01 3 3638 FALSE
451 2005-08-01 3 2238 2003-03-01 3 5896 FALSE
452 2005-09-01 3 1992 2003-04-01 3 5694 FALSE
453 2005-10-01 3 2127 2003-05-01 3 6199 FALSE
454 2005-11-01 3 2287 2003-06-01 3 6664 FALSE
455 2005-12-01 3 2054 2003-07-01 3 9125 FALSE
